"country","HDI","lifeExp","expEdu","meanEdu","GNIC_log","GNICr_HDIr","GII","matMort_log","adolBirthRate_log","reprParl","edu2F","edu2M","labF","labM","eduRatio","labRatio"
"Tunisia",0.721,74.8,14.6,6.8,4.01720034352384,1,0.24,1.66275783168157,0.662757831681574,31.3,32.8,46.1,25.1,70.9,0.711496746203904,0.354019746121298
"Colombia",0.72,74,13.5,7.3,4.08062648692181,-9,0.429,1.91907809237607,1.83569057149243,20.9,56.9,55.6,55.8,79.7,1.02338129496403,0.700125470514429
"Jamaica",0.719,75.7,12.4,9.7,3.8701111553644,13,0.43,1.90308998699194,1.84571801796666,16.7,74,70.2,56.1,70.9,1.05413105413105,0.791255289139633
"Tonga",0.717,72.8,14.7,10.7,3.7049222912234,32,0.666,2.07918124604762,1.25767857486918,0,87.5,88.3,53.5,74.6,0.990939977349943,0.7171581769437
"Belize",0.715,70,13.6,10.5,3.88161287247835,9,0.426,1.65321251377534,1.85369821177617,13.3,76.4,75.8,49.2,82.3,1.00791556728232,0.597812879708384
"Dominican Republic",0.715,73.5,13.1,7.6,4.07492609712396,-12,0.477,2,1.9982593384237,19.1,55.6,53.1,51.3,78.6,1.04708097928437,0.652671755725191
"Suriname",0.714,71.1,12.7,7.7,4.19359761029809,-32,0.463,2.11394335230684,1.54654266347813,11.8,44.6,47.1,40.5,68.8,0.94692144373673,0.588662790697674
"Maldives",0.706,76.8,13,5.8,4.09089262571036,-19,0.243,1.49136169383427,0.6232492903979,5.9,27.3,32.7,56.2,77.5,0.834862385321101,0.725161290322581
"Samoa",0.702,73.4,12.9,10.3,3.72648269678483,24,0.457,1.76342799356294,1.45178643552429,6.1,64.3,60,23.5,58.4,1.07166666666667,0.402397260273973
"Botswana",0.698,64.5,12.5,8.9,4.22130989029693,-41,0.48,2.23044892137827,1.64542226934909,9.5,73.6,77.9,71.9,81.6,0.944801026957638,0.881127450980392
